Name,PSNR,SSIM,MSE,Entropy_Diff,Noise_Variance,Sharpness,Spatial_Freq,Dynamic_Range
noisy_BSDS300_10_46076.jpg,17.878689645272857,0.20990034669124683,1059.7694509750584,0.582009124683764,4694.516885225246,18720.511105995796,12372.310264376807,1.0
noisy_BSDS300_11_66039.jpg,17.621228675799635,0.31162206772427714,1124.494908279955,0.5373941909502022,3782.9695328924627,19012.706370139134,12818.498363150433,1.0
noisy_BSDS300_12_249087.jpg,17.630760599858093,0.4069749446594097,1122.0295658706873,0.12092641862572151,3696.28316581813,20114.906472965395,13686.384805203259,1.0
noisy_BSDS300_13_20008.jpg,17.316075087909525,0.20934157112180696,1206.3486764982092,1.045307851798082,2780.2284761101114,21180.01590141588,13175.04800255547,1.0
noisy_BSDS300_14_42044.jpg,17.762219458889685,0.2552111828040929,1088.5751473975772,1.923213354708266,2237.447406314158,15872.211015408893,11849.213534381042,1.0
noisy_BSDS300_15_108070.jpg,17.45484545285167,0.40948041940600294,1168.4114804955927,0.5929679339512033,2538.6327346636363,22031.778549722898,14219.08830319146,1.0
noisy_BSDS300_16_87065.jpg,17.505906184986035,0.5559870561537382,1154.7547101378877,0.1641026143202522,3233.0227275161214,21694.152357492974,15243.940409731204,1.0
noisy_BSDS300_17_143090.jpg,17.261973973709985,0.14763346761211024,1221.4704460031562,0.3213473215579148,2537.7017481525713,20272.66885243017,12510.43483927598,1.0
noisy_BSDS300_18_117054.jpg,17.783355314176642,0.3772380842811071,1083.2902377575274,0.05526455478085257,4381.252942361882,20917.840931353552,14334.04348741833,1.0
noisy_BSDS300_19_189080.jpg,18.026169628809065,0.18819263430280822,1024.3854422359095,0.42746113219330883,5219.465824332112,17316.270627715257,12245.718329145158,1.0
noisy_BSDS300_1_26031.jpg,17.911843362364014,0.5607146352490443,1051.7100515324814,0.5042771312496122,5923.400463925346,23889.515702492412,16718.79519954838,1.0
noisy_BSDS300_20_42049.jpg,18.07744441916112,0.19773893859566263,1012.3621954089244,1.2074192489445403,3367.8601667170033,18091.78106078849,12979.929242046182,1.0
noisy_BSDS300_2_97033.jpg,17.970849504768452,0.41459513800478937,1037.5174513118438,0.1642717999982244,5473.799702358291,18332.70577004674,13517.481393196804,1.0
noisy_BSDS300_3_15088.jpg,17.388382445539456,0.29628812721154435,1186.429990738402,0.7838459034049086,2611.1015103824298,21294.627832811977,13273.60123906968,1.0
noisy_BSDS300_4_176039.jpg,17.556105581055043,0.2604710212413841,1141.4839325306616,0.321891702620011,4067.5146621207464,19903.364094324857,13357.356349731916,1.0
noisy_BSDS300_5_385039.jpg,17.672068691692232,0.3599310432616441,1111.4079312957817,0.35298690767656726,4370.13597418081,20490.154279582857,14254.409564973645,1.0
noisy_BSDS300_6_188005.jpg,17.284814262580795,0.22790042463829854,1215.0633868951627,0.2904822770229947,3008.3571191443584,20134.095847834087,12736.635566757128,1.0
noisy_BSDS300_7_25098.jpg,17.504985609107134,0.35283507034198874,1154.9995099340895,0.12438255568870193,4084.62652166457,19563.79998631148,13702.442276781985,1.0
noisy_BSDS300_8_101087.jpg,17.926925983736638,0.2587558339469626,1048.0639007087605,1.2699458246330044,4737.979470938371,17538.022988446883,12471.387804615686,1.0
noisy_BSDS300_9_187003.jpg,17.532475295165618,0.3527902860664134,1147.7117592070863,0.2650459560817291,4031.659147552938,20648.808333036202,13892.067051516358,1.0
noisy_Pistachio_Image_Dataset_10_siirt 380.jpg,17.86022219354077,0.062094367673870283,1064.2854907407407,4.386591209226102,6740.03590158882,10648.62511666145,14317.284663779055,1.0
noisy_Pistachio_Image_Dataset_11_kirmizi 993.jpg,17.831039363720365,0.052699486333823355,1071.4611398148147,4.599232676486086,6117.706214795525,10241.396385944376,13963.70838340033,1.0
noisy_Pistachio_Image_Dataset_12_kirmizi 843.jpg,17.584054650976842,0.044123054743677004,1134.161487037037,4.77273176727421,4469.238368166657,11015.044009287585,14178.26610606561,1.0
noisy_Pistachio_Image_Dataset_13_kirmizi 868.jpg,17.84587077253495,0.04921309139065392,1067.8082787037038,4.605938387257724,6282.091988646597,10118.659732739809,13895.050544817588,1.0
noisy_Pistachio_Image_Dataset_14_kirmizi 567.jpg,17.776640531087597,0.040042995417093975,1084.9664472222223,4.7654147651523875,5629.7777677101785,10071.240655275278,13764.705254176342,1.0
noisy_Pistachio_Image_Dataset_15_kirmizi 1105.jpg,17.842645159219884,0.05317626880614898,1068.601661111111,4.622910943229714,6164.393185125894,9858.92896138469,13785.48948943677,1.0
noisy_Pistachio_Image_Dataset_16_siirt 651.jpg,17.904374796397363,0.052390872849382174,1053.5202342592593,4.295957499530602,7110.578532309805,10542.699887147772,14033.305862053954,1.0
noisy_Pistachio_Image_Dataset_17_kirmizi 521.jpg,17.685481588853687,0.04170339651735639,1107.9807166666667,4.666452971246844,5469.306829145554,10829.472153396264,14101.652063967893,1.0
noisy_Pistachio_Image_Dataset_18_kirmizi 1081.jpg,17.81404804614432,0.06112813094777111,1075.6613305555557,4.363869083627765,6492.829192931474,10694.245133077748,14375.451255965514,1.0
noisy_Pistachio_Image_Dataset_19_kirmizi 56.jpg,17.996273300153845,0.06573374121152513,1031.4615203703704,4.338398688831131,7774.75144663944,9661.996131151114,13859.34614324103,1.0
noisy_Pistachio_Image_Dataset_1_siirt 578.jpg,17.863240747567847,0.0519798221240351,1063.5460185185186,4.584821748460806,6281.806174487776,10117.202124144374,13802.186900562096,1.0
noisy_Pistachio_Image_Dataset_20_kirmizi 349.jpg,17.786520672770937,0.03897942126348921,1082.5009685185184,4.7349525780436945,5523.206062353057,10126.732783030831,13612.011177953635,1.0
noisy_Pistachio_Image_Dataset_2_siirt (7).jpg,17.74925627563976,0.06675259602818348,1091.8292712962964,4.232497890914036,6234.052589262584,11232.690554824412,14569.271625130103,1.0
noisy_Pistachio_Image_Dataset_3_kirmizi 224.jpg,17.77895094608954,0.045477780198926766,1084.3894064814815,4.373832510734259,6280.897853934993,10861.945795964168,14114.55736982576,1.0
noisy_Pistachio_Image_Dataset_4_kirmizi 275.jpg,17.763843195978136,0.05104518326890526,1088.1682277777777,4.4230833997231525,6507.1488281135125,11130.237949021943,14473.835334484873,1.0
noisy_Pistachio_Image_Dataset_5_kirmizi 513.jpg,17.81966969197355,0.04949330777131381,1074.2698611111111,4.443459345923095,6303.9205057611025,10393.080914038814,13867.031738429492,1.0
noisy_Pistachio_Image_Dataset_6_kirmizi 55.jpg,17.62844183926853,0.040144108720477654,1122.6287935185185,4.716409533935197,5036.4536407138185,11012.761375535178,14204.61670742293,1.0
noisy_Pistachio_Image_Dataset_7_kirmizi 424.jpg,17.741930059202303,0.05211127189624742,1093.6726583333334,4.541420507811593,6029.335066358261,10832.788324123696,14290.522042192146,1.0
noisy_Pistachio_Image_Dataset_8_kirmizi 1029.jpg,17.892420896726108,0.05451118987299921,1056.4240296296296,4.455993322628846,6850.284460036658,9881.887087678888,13845.391721177399,1.0
noisy_Pistachio_Image_Dataset_9_kirmizi 141.jpg,17.89687259327555,0.04557963985278427,1055.3417064814814,4.6020250684529,6494.968683497499,9844.460950314622,13651.735300953913,1.0
noisy_Pokemon_10_dustox.png,15.646493625531495,0.15971066192287775,1771.8665046296296,3.938786833056925,3376.1709239969146,15424.766967472031,4703.995654453176,1.0
noisy_Pokemon_11_muk.png,15.44512799715019,0.2191405710743095,1855.9555092592593,3.9930257021469417,3881.165879046104,17841.75399982639,5066.169870484267,1.0
noisy_Pokemon_12_wobbuffet.png,15.701216126319125,0.10662172478246901,1749.6804861111111,4.426352081776196,3270.8498819010415,13419.021058950617,4438.916144430541,1.0
noisy_Pokemon_13_aromatisse.png,15.737883564542056,0.18632192912576637,1734.9701388888889,3.8580220876933415,4229.039214887152,16131.370346739968,4863.406945895195,1.0
noisy_Pokemon_14_lotad.png,15.79658054822261,0.0839209307943297,1711.678935185185,4.443112644705625,1875.4203221450614,11785.33560785108,4172.814703068086,1.0
noisy_Pokemon_15_honedge.png,15.774398712733992,0.17915406981494775,1720.4437962962963,4.060596401686147,2749.1662185136956,16769.447457098766,4813.7793010254245,1.0
noisy_Pokemon_16_poliwrath.png,15.731320225120026,0.17853556502630816,1737.5941203703703,3.986401672188337,3429.878101774691,16284.34399872203,4786.627268886175,1.0
noisy_Pokemon_17_meloetta-aria.png,15.774082892477384,0.11599106796214408,1720.568912037037,4.38245041196148,2184.0188975260417,13741.753602772955,4453.072800974986,1.0
noisy_Pokemon_18_gothorita.png,15.758771192028968,0.17158811520427708,1726.6457407407408,4.144649269011396,2444.5866493055555,15842.019386916472,4780.437853764683,1.0
noisy_Pokemon_19_palkia.png,15.79413690793527,0.38842633468014603,1712.6423148148149,3.1998272130497702,7554.5211888695985,21587.66967001832,5859.139696271437,1.0
noisy_Pokemon_1_nidoqueen.png,15.686829516095653,0.196964651147862,1755.4861574074075,3.7972667589590254,4668.604826215278,15754.81979998071,4903.719412865301,1.0
noisy_Pokemon_20_starmie.png,15.747146631239978,0.1640488938710186,1731.2735648148148,4.108623421048565,3395.0207774691366,15194.123527604168,4722.422670563036,1.0
noisy_Pokemon_2_donphan.png,15.606912394996018,0.21804139773150702,1788.0889583333333,3.8362555191447623,4621.7380859375,16494.441198128858,5003.9449290181465,1.0
noisy_Pokemon_3_arceus.png,15.78818868478286,0.3348846904435397,1714.9896064814816,3.63421599901763,6440.742441184413,18745.65567035108,5572.760503661927,1.0
noisy_Pokemon_4_stunfisk.png,15.63998261341143,0.1994368632749821,1774.5249074074075,3.8072955470164884,4358.9600664303625,16224.10085599923,4918.206663043519,1.0
noisy_Pokemon_5_registeel.png,15.699853635942402,0.2633643553737604,1750.2294907407406,3.87653861435683,5574.699188580247,18339.81628641493,5301.964383106601,1.0
noisy_Pokemon_6_sawsbuck.png,15.706524187457624,0.18571958863667468,1747.543287037037,4.006147229491372,2460.070112726659,17106.774017703512,4819.123262599621,1.0
noisy_Pokemon_7_nidoran-f.png,15.808648556351608,0.08636176134100948,1706.929189814815,4.5344925672671845,2248.8683041618438,12287.247976543207,4294.9061319648845,1.0
noisy_Pokemon_8_kommo-o.png,15.510048650869688,0.23111691409007742,1828.4180324074075,3.486106950800677,3759.1473079427074,19677.939472048613,5219.287072551261,1.0
noisy_Pokemon_9_octillery.png,15.589399925834948,0.12346816803783466,1795.3137962962962,4.306066328104597,2163.5048687065973,14763.509726832563,4506.626647277477,1.0
noisy_Sports_10_109.jpg,17.587111258904148,0.47873121704316324,1133.363533694728,0.25189800733369516,3568.970494061398,27761.41689609995,8730.225348079837,1.0
noisy_Sports_11_056.jpg,17.76835584460577,0.2902676493717071,1087.038125797194,0.5685172953927511,5003.787695931177,19543.002102277518,7988.262634599088,1.0
noisy_Sports_12_067.jpg,17.351369532925748,0.3126855111180568,1196.5845955569728,0.6236448102322605,3418.2167316354944,20777.4875534404,7910.855830403696,1.0
noisy_Sports_13_132.jpg,17.70738228252199,0.27693814142753287,1102.4074325042518,1.494914353697987,4197.936307967875,16675.812490810014,7338.688495199561,1.0
noisy_Sports_14_056.jpg,17.212557583560162,0.49221445454030066,1235.4483750531463,0.4226154348611759,2565.627265755011,27598.335022906867,8914.711050963313,1.0
noisy_Sports_15_008.jpg,17.208149516597896,0.4562696987998502,1236.7029854910713,0.3916074359868933,2409.1573597146594,25757.841411279172,8535.804944021895,1.0
noisy_Sports_16_060.jpg,20.142921036238764,0.26821718347944995,629.1993383290817,2.5577257310963644,4034.0642259082215,11515.631578936769,6584.137250001323,1.0
noisy_Sports_17_143.jpg,17.351188242598624,0.28996882460004986,1196.6345463966836,0.36506796875553604,3433.3163639781183,22871.69267271003,8102.888260390245,1.0
noisy_Sports_18_106.jpg,17.335915667473774,0.5250702283282057,1200.8500876913265,0.34668011150561906,2894.498838275733,25169.41162111242,8661.704696474271,1.0
noisy_Sports_19_049.jpg,17.521898960412294,0.3661342846375864,1150.5101775085034,0.2944033586576138,4330.482261311357,17465.336450839328,7675.086283919752,1.0
noisy_Sports_1_015.jpg,17.891303260485614,0.45371551935451454,1056.6959303252552,0.40438651099666867,3269.3335070866237,24599.913720032015,8823.8708366676,1.0
noisy_Sports_20_1.jpg,19.598056145303765,0.2995055184145596,713.3041427508504,1.5771158880068885,5355.736538925949,11677.173246441656,6353.777045766124,1.0
noisy_Sports_2_116.jpg,17.772356027440786,0.3121669739641592,1086.037341889881,0.36209536551657795,4207.973644286381,16575.948593996007,7272.964266879582,1.0
noisy_Sports_3_119.jpg,17.297251129437146,0.324654032143265,1211.5887941113945,0.5231189402993639,2593.8435082997644,23159.446151091128,8180.772154761046,1.0
noisy_Sports_4_095.jpg,17.66383692998383,0.4032293856154519,1113.5165284863945,0.28459535137521197,3745.542921148107,22877.585951420624,8353.90576700716,1.0
noisy_Sports_5_038.jpg,17.55456161734638,0.3633789192920398,1141.8898145195578,0.32389601360511566,3636.11315986565,18138.909644857733,7745.246458703009,1.0
noisy_Sports_6_116.jpg,17.54700884499346,0.3962962748333056,1143.8773915816328,0.17636392774255416,4171.498578329773,20334.19699141444,8027.0999820882635,1.0
noisy_Sports_7_036.jpg,17.3430558810837,0.37098225451294886,1198.877398224915,0.574442075402283,3041.4691674019186,22071.713533260885,8446.77801923691,1.0
noisy_Sports_8_160.jpg,19.173532529735898,0.4269349052620241,786.5513990752551,0.5319741386954773,4499.406441513373,18307.181492221596,8319.772412020899,1.0
noisy_Sports_9_122.jpg,19.289890074482294,0.21269774686979323,765.7576663477892,1.217338585680804,3074.3523497508,14566.87135691645,6965.536613806029,1.0
